n;phrase;impressions;type
1;"внедрение искусственного интеллекта";9068;top
2;"внедрение технологии искусственного интеллекта";2414;top
3;"внедрение систем искусственного интеллекта";1000;top
4;"внедрение искусственного интеллекта сферы";946;top
5;"внедрение искусственного интеллекта здравоохранения";815;top
6;"эффекты внедрения искусственного интеллекта";633;top
7;"цель внедрения искусственного интеллекта";574;top
8;"разработка и внедрение искусственного интеллекта";510;top
9;"внедрение искусственного интеллекта в медицине";431;top
10;"внедрение искусственного интеллекта в образовательный процесс";399;top
11;"внедрение искусственного интеллекта проект";364;top
12;"обучение внедрение искусственного интеллекта";363;top
13;"создание и внедрение в искусственный интеллект";351;top
14;"перспективы внедрения искусственного интеллекта";343;top
15;"внедрение искусственного интеллекта в бизнес";329;top
16;"внедрение искусственного интеллекта в образовании";323;top
17;"внедрение технологии искусственного интеллекта ии";313;top
18;"повышение эффективности внедрения искусственного интеллекта";306;top
19;"внедрение искусственного интеллекта в россии";280;top
20;"проблемы внедрения искусственного интеллекта";264;top
21;"внедрение искусственного интеллекта компании";262;top
22;"москва внедрение искусственного интеллекта";249;top
23;"автоматизация и внедрение искусственного интеллекта";236;top
24;"закон о внедрении искусственного интеллекта";235;top
25;"искусственный интеллект практика внедрения";221;top
26;"риски внедрения искусственного интеллекта";210;top
27;"внедрение технологий искусственного интеллекта в москве";202;top
28;"пример внедрение искусственного интеллекта";182;top
29;"внедрение искусственного интеллекта рф";179;top
30;"внедрение искусственного интеллекта в государственное управление";179;top
31;"программа внедрения искусственного интеллекта";174;top
32;"внедрение искусственного интеллекта в жизнь";160;top
33;"внедрение искусственного интеллекта в логистику";149;top
34;"внедрение искусственного интеллекта в производство";146;top
35;"стратегия внедрения искусственного интеллекта";142;top
36;"внедрение искусственного интеллекта в промышленность";135;top
37;"внедрение искусственного интеллекта услуги";131;top
38;"внедрение искусственного интеллекта в бизнес процессы";123;top
39;"внедрение искусственного интеллекта в автомобили";117;top
40;"внедрение технологий искусственного интеллекта в государственное управление";116;top
41;"специалист по внедрению искусственного интеллекта";113;top
