n;phrase;impressions;type
1;"локальные llm";2242;top
2;"локальная llm модель";462;top
3;"лучшие локальные llm";232;top
4;"локальный запуск llm";154;top
5;"лучшие локальные llm модели";86;top
6;"как запустить llm локально";63;top
7;"локальная llm для программирования";63;top
8;"локальная установка llm";59;top
9;"локальное развертывание llm";54;top
10;"как развернуть llm локально";47;top
11;"лучшие локальные llm для программирования";43;top
12;"бесплатные локальные llm";31;top
13;"сравнение локальных llm";29;top
14;"видеокарта для локальной llm";28;top
15;"запуск llm моделей локально";26;top
16;"python локальная llm";26;top
17;"топ локальных llm";22;top
18;"как использовать llm локально";22;top
19;"как установить локальную llm";21;top
20;"русская llm локально";21;top
21;"дообучение локальной llm";13;top
22;"llm без цензуры локально";13;top
23;"claude code локальная llm";12;top
24;"квантированая деслилированая llm с nfsw локально";12;top
25;"рейтинг локальных llm";12;top
26;"локальная llm модель для кодинга";9;top
27;"локальная llm для openclaw";9;top
28;"как обучать локальную llm";8;top
29;"локальные llm mac mini";7;top
30;"лучшая локальная модель llm для mac мини";7;top
31;"локальная llm модель и excel";7;top
32;"выбор локальной llm";7;top
33;"локальная llm на macos";6;top
34;"развертывание локальной llm на сервере";6;top
35;"llm для локального развертывания и дообучения";5;top
36;"лучшая локальная llm openclaw";5;top
37;"claude opus 4.6 на локальной llm";5;top
38;"российские локальные llm";5;top
39;"влияние размера параметров на локальную llm";3;top
1;"as i lay dying";15227;assoc
2;"лоутаб это";1746;assoc
3;"лна это";4713;assoc
4;"локально";864817;assoc
5;"локалы";17068;assoc
6;"локалрент";782;assoc
7;"локально это";61026;assoc
8;"локально это что значит";1986;assoc
9;"локально нормативные акты организации это";1833;assoc
10;"as i lay dying слушать";790;assoc
11;"локаут это";660;assoc
12;"ta loc";587;assoc
13;"mon declarant by зона";99;assoc
14;"статус локалис";8798;assoc
15;"что значит локально";7736;assoc
16;"запуск deepseek r1 локально на своем компьютере";129;assoc
17;"n8n локально";683;assoc
