n;phrase;impressions;type
1;"chatgpt для бизнеса";343;top
2;"промты для бизнеса chatgpt";207;top
3;"промты для chatgpt бизнес план";25;top
4;"промт для бизнес плана chatgpt написания";19;top
1;"тбизнес";43198;assoc
2;"ии чат gpt";11592;assoc
3;"ябизнес";2815;assoc
4;"chatgp";1476;assoc
5;"chatgpr";1202;assoc
6;"business cats";4253;assoc
7;"chatgpt5";1000;assoc
8;"business fm";3480;assoc
9;"psb business";595;assoc
10;"чат gpt сом";420;assoc
11;"чатик gpt";147;assoc
12;"chatgpy";426;assoc
13;"chatpgt com";354;assoc
14;"gpt chatbot ru";729;assoc
15;"chat gpt app";1137;assoc
16;"этика делового общения";4769;assoc
17;"chat gpt api";1334;assoc
18;"chatgpt4";516;assoc
