n;phrase;impressions;type
1;"yandexgpt для бизнеса";47;top
1;"тбизнес";43198;assoc
2;"yandex gpt";12792;assoc
3;"yandex pay";12701;assoc
4;"yandex business";6681;assoc
5;"тбизнесс";458;assoc
6;"основатель яндекса";2138;assoc
7;"тбизнес личный кабинет ип";272;assoc
8;"яндекс такси для корпоративных клиентов";825;assoc
9;"vtb biznes";396;assoc
10;"yandex business личный кабинет";492;assoc
11;"yandexbundled";2184;assoc
12;"biznes yandex";276;assoc
13;"яндекс gpt api";233;assoc
14;"https business yandex ru";2273;assoc
