n;phrase;impressions;type
1;"gigachat для бизнеса";71;top
1;"gemini business";12524;assoc
2;"business fm";3480;assoc
3;"business gazeta";1826;assoc
4;"google business";2596;assoc
5;"chatgpt business";923;assoc
6;"популярные франшизы";1447;assoc
7;"business development manager";470;assoc
8;"business bitch";879;assoc
9;"business development";2382;assoc
10;"business name generator";54;assoc
11;"business manager";2152;assoc
12;"xlov business";116;assoc
13;"business magnate";144;assoc
14;"egov business";4;assoc
15;"вкусно и точка юр лицо";151;assoc
16;"micb business";5;assoc
17;"деловые линии юр лицо";815;assoc
18;"witchy business";271;assoc
