n;phrase;impressions;type
1;"корпоративный ии ассистент";30;top
1;"помошник или помощник";12460;assoc
2;"помошник или помощник как правильно";3702;assoc
3;"корпоратив это";2981;assoc
4;"что такое корпоратив";604;assoc
5;"сп помощник";1042;assoc
6;"помощник по уходу";14257;assoc
7;"говорящий помощник фильм";398;assoc
8;"помощник по составу разобрать";916;assoc
9;"предложение со словом помощник";627;assoc
10;"помощник флориста";4558;assoc
11;"помощник";1891600;assoc
12;"корпаротив или корпоратив";114;assoc
13;"корпоратив что это";767;assoc
14;"аи помощник";1040;assoc
