n;phrase;impressions;type
1;"корпоративная нейросеть";201;top
2;"корпоративное обучение нейросетям";21;top
3;"корпоративный тренинг по нейросетям";12;top
1;"лучшие нейросети aicombo";34541;assoc
2;"нейросеть бесплатно";1340092;assoc
3;"study ai нейросеть";6003;assoc
4;"бесплатная нейросеть";1340093;assoc
5;"что такое нейросеть";15893;assoc
6;"эй бро нейросеть";3697;assoc
7;"ии нейросеть бесплатно";63240;assoc
8;"нейросеть это";44237;assoc
9;"топ нейросетей";13353;assoc
10;"нейросфера нейросеть";960;assoc
11;"курсы по нейросетям";12266;assoc
12;"нейросеть ответ";27034;assoc
13;"общение с нейросетью бесплатно";681;assoc
14;"как пользоваться нейросетью";6539;assoc
15;"yupp нейросеть";368;assoc
16;"включи нейросеть";2195;assoc
17;"нейросети для бизнеса";3067;assoc
