n;phrase;impressions;type
1;"внедрение нейросети";1145;top
2;"внедрение и использование нейросетей в организации";294;top
3;"внедрение нейросетей в рабочие процессы";77;top
4;"внедрение нейросети курс";55;top
5;"внедрение нейросетей в бизнес";52;top
6;"внедрение нейросетей в образование";41;top
7;"разработка нейросетей внедрение";38;top
8;"специалист по внедрению нейросетей";31;top
9;"иннополис внедрение нейросетей в рабочие процессы";28;top
10;"внедрение нейросетей в рабочие процессы в организациях";13;top
11;"внедрение и использование нейросетей в организации вакансии";11;top
1;"лучшие нейросети aicombo";34541;assoc
2;"нейросеть бесплатно";1340092;assoc
3;"что такое нейросеть";15893;assoc
4;"нейросеть это";44237;assoc
5;"сделать фото с помощью нейросети";9069;assoc
6;"нейросеть для решения задач";10068;assoc
7;"задать вопрос нейросети";4262;assoc
8;"курсы по нейросетям";12266;assoc
9;"нейросеть ответ";27034;assoc
10;"нейросеть задать вопрос";4262;assoc
11;"курсы по ии и нейросетям";1280;assoc
12;"как пользоваться нейросетью";6539;assoc
13;"нейросеть придумывает";14368;assoc
14;"нейросеть которая раздевает";2435;assoc
15;"нейросеть вопросы";24160;assoc
16;"включи нейросеть";2195;assoc
17;"нейросеть для создания";192377;assoc
18;"нейросеть что это";12839;assoc
19;"как сделать нейросеть";46826;assoc
