n;phrase;impressions;type
1;"чат бот для сотрудника";270;top
2;"чат бот для сотрудников компании";52;top
3;"чат бот для новых сотрудников";47;top
4;"чат бот для адаптации новых сотрудников";28;top
1;"кто придумал слово робот";943;assoc
2;"робот человек";67678;assoc
3;"работники библиотеки профессии";359;assoc
4;"dialog spy bot что это";252;assoc
5;"вкалывают роботы а не человек";1225;assoc
6;"специалист по искусственному интеллекту";3695;assoc
7;"т банк работа вакансии";2340;assoc
8;"менеджер по подбору персонала вакансии";1690;assoc
9;"специалист по информационной безопасности вакансии";727;assoc
10;"чоботы как пишется";360;assoc
11;"профессор это должность или звание";429;assoc
12;"должностные обязанности специалиста по охране труда";1019;assoc
13;"соответствие занимаемой должности педагогических работников";3384;assoc
14;"профстандарт специалист по управлению персоналом";699;assoc
15;"менеджер по персоналу вакансии";4373;assoc
16;"специалист по работе с системами искусственного интеллекта";865;assoc
17;"вкалывают роботы а не человек текст";162;assoc
18;"специалист по нейросетям вакансии";438;assoc
19;"чатбот что это";140;assoc
