n;phrase;impressions;type
1;"чат бот для компании";461;top
2;"чат бот для сотрудников компании";52;top
3;"чат бот для управляющей компании";30;top
1;"dialog spy bot что это";252;assoc
2;"spam info bot telegram что это такое";157;assoc
3;"общение с ai персонажами";627;assoc
4;"chai chat ai platform";1445;assoc
5;"tot bot org";64;assoc
6;"чатбот ру";83;assoc
7;"yes ai bot";234;assoc
8;"t me happ support bot";59;assoc
9;"ботим мессенджер что это за программа";104;assoc
10;"bot t com";1009;assoc
11;"чатбот что это";140;assoc
12;"bot t com что это";69;assoc
13;"salebot что это";154;assoc
14;"группы для общения в телеграмме";1071;assoc
15;"fun stat bot в телеграмме";99;assoc
