n;phrase;impressions;type
1;"чат бот база знаний";139;top
1;"бьюти бот";4835;assoc
2;"бот для общения";19749;assoc
3;"кто такой бот";2856;assoc
4;"бот для общения с персонажами";4111;assoc
5;"spam info bot";1714;assoc
6;"ca i бот";856;assoc
7;"dialog spy bot что это";252;assoc
8;"astro bot series";279;assoc
9;"чатбот нейросеть";368;assoc
10;"чатбот ру";83;assoc
11;"dialog spy bot что делает";213;assoc
12;"чатбот что это";140;assoc
13;"чатбот нейросеть бесплатно";73;assoc
14;"пользователь иб не идентифицирован 1с 83 конфигуратор";106;assoc
