n;phrase;impressions;type
1;"поиск по базе знаний";320;top
1;"список заданий";388531;assoc
2;"в списках не значился";82467;assoc
3;"показать подсказку";14109;assoc
4;"а знаешь все еще будет";17100;assoc
5;"как называется этот знак";7435;assoc
6;"помнить все";166250;assoc
7;"наука изучающая работу различных органов человека называется";1177;assoc
8;"кто ищет тот всегда найдет";2377;assoc
9;"найти игру или жанр";721;assoc
10;"сам дней не знает а другим указывает";661;assoc
11;"все пройдет и это тоже";2780;assoc
12;"все решено за меня";15750;assoc
13;"только дай знать где ты находишься";1158;assoc
14;"ты абсолютно везде и абсолютно всегда";1625;assoc
15;"здесь хорошее местечко";4174;assoc
