n;phrase;impressions;type
1;"поиск по документу";16108;top
2;"поиск документа по реквизиту";3795;top
3;"помощь по поиску документов";2879;top
4;"поиск документа по тексту";2223;top
5;"поиск ответов по документу";1995;top
6;"системы поиска по документам";1784;top
7;"поиск слов по документу";1659;top
8;"поиск документов по дате";1427;top
9;"поиск информации по документу";1316;top
10;"быстрый поиск по документу";957;top
11;"поиск документов по ситуации";943;top
12;"поиск документов по содержимому";873;top
13;"поиск документа по названию";684;top
14;"поиск по нормативным документам";644;top
15;"список документов по карточке поиска";599;top
16;"поиск по документу клавиши";576;top
17;"поиск документов по известным реквизитам";563;top
18;"поиск документов по номеру";558;top
19;"поиск по судебным документам";544;top
20;"поиск слов по тексту документа";539;top
21;"поиск героя по документам";501;top
22;"поиск документов по ключевым словам";497;top
23;"поиск по документу в гаранте";463;top
24;"как сделать поиск по документу";436;top
25;"поиск документов по содержанию";407;top
26;"память народа поиск по документам";407;top
27;"память героям поиск документов по героям";405;top
28;"память народа поиск документов по героям";404;top
29;"поиск народа поиск документов по героям";404;top
30;"поиск по документу кнопки";354;top
31;"поиск по текстовым документам";345;top
32;"поиск по документу ворд";338;top
33;"поиск по документу интернет";331;top
34;"программа поиска по документам";320;top
35;"поиск по документу word";315;top
36;"поиск документов по компьютеру";308;top
37;"поиск документов по архивам";295;top
38;"поиск по документу сочетание клавиш";263;top
39;"поиск по документу пдф";258;top
40;"функция поиска по документу";258;top
41;"поиск по документам суда";245;top
42;"поиск по документу в консультанте";237;top
43;"сайт по поиску документа";237;top
44;"поиск по тексту в документах в папке";231;top
45;"поиск по базе документов";230;top
46;"рекомендации по поиску документов";215;top
47;"поиски провожу по документам";209;top
48;"поиск по документу гугл";201;top
49;"поиск по документу команда";201;top
50;"поиск по документу яндекс";194;top
51;"поиск по архивным документам";193;top
52;"поиск по документу в консультанте плюс";192;top
53;"поиск по автору документа";191;top
54;"как осуществить поиск по документу";176;top
55;"поиск документа word по тексту";174;top
56;"как использовать поиск по документу";157;top
57;"поиск в спс по реквизитам документов";153;top
58;"полнотекстовый поиск по документам";151;top
59;"список документов по запросу быстрого поиска";150;top
60;"услуги по поиску документов";146;top
61;"как в документе найти слово по поиску";145;top
62;"поиск человека по документам";142;top
63;"поиск документов по дате создания";141;top
64;"поиск в компьютере по слову в документе";141;top
65;"поиск по документу приложение";137;top
66;"интеллектуальный поиск по документам";132;top
67;"поиск по исполнительному документу";126;top
68;"как включить поиск по документу";120;top
69;"поиск документов по фамилии";112;top
70;"поиск по тексту документа в консультантплюс";109;top
71;"поиск по документам в windows";102;top
72;"поиск по документу комбинация";98;top
73;"поиск по документу онлайн";96;top
74;"поиск по реквизитам документов в консультантплюс";95;top
75;"первая мировая война поиск по документам";91;top
76;"поиск по документу pdf";91;top
77;"первая мировая поиск документов по героям";87;top
78;"первая мировая война поиск документов по героям";85;top
79;"поиск документов по героям войны";85;top
80;"поиск файла по тексту в документе";84;top
81;"как открыть поиск по документу";81;top
82;"поиск по документам в виндовс";80;top
83;"поиск по документу какие клавиши";80;top
84;"поиск по документу эксель";78;top
85;"поиск по документу в браузере";77;top
86;"поиск по индексу документа";74;top
87;"поиск документа по тексту в ворде";72;top
88;"программа поиска документов по тексту";72;top
89;"как сделать поиск по документу в ворде";70;top
90;"как настроить поиск по содержанию документов";69;top
91;"поиск по документу комбинация клавиш";67;top
92;"как выполнить поиск по документу";64;top
93;"поиск по документам эпштейна";64;top
94;"поиск по вордовскому документу";64;top
95;"поиск по формату документа";63;top
96;"входящие документы поиск по всем документам";63;top
97;"поиск по номеру исполнительного документа";62;top
98;"поиск документов по номеру дела";61;top
99;"поиск по документу айфон";60;top
100;"процесс поиска документов по ключевым фразам";60;top
101;"поиск по документам в windows 10";55;top
102;"поиск по документам вк";53;top
103;"поиск документов по слову программа";53;top
104;"поиск слов по вордовскому документу";47;top
105;"1с поиск документа по номеру";47;top
106;"поиск по табличному документу 1с";46;top
107;"ии поиск по документам";46;top
108;"поиск по телефону документа";46;top
109;"поиск в пдф документе по словам";45;top
110;"поиск по документам google";45;top
111;"поиск по документу горячие клавиши";45;top
112;"процесс поиска документов по их содержанию";45;top
113;"поиск документа word по содержимому";45;top
114;"поиск в документе ворд по слову";44;top
115;"соц контракт по поиску работы документы";43;top
116;"поиск документов по фио";42;top
117;"поиск документа по фото";42;top
118;"поиск документов по инн";42;top
119;"как сделать поиск по гугл документу";42;top
120;"поиск по словам в гугл документах";38;top
121;"поиск по пдф документу клавиши";37;top
122;"поиск документа по штрих коду";37;top
123;"поиск по документам текст в компьютере";35;top
124;"поиск в папке по содержимому документа";33;top
125;"поиск исполнительного документа по номеру дела";33;top
126;"поиск документа по идентификатору";32;top
127;"помощь по архивным поискам документов";32;top
128;"поиск по слову в документе windows";32;top
129;"поиск по документу ворд клавиши";31;top
130;"процесс поиска документов по ключевым фразам называется";31;top
131;"поиск по табличной части документа";30;top
132;"как сделать поиск по документу пдф";30;top
133;"поиск по тексту документа в windows 10";29;top
134;"поиск документа по уин";29;top
135;"яндекс архив поиск по документам";29;top
136;"поиск по платежным документам";27;top
137;"умный поиск по документам";27;top
138;"программы поиска документов по ключевым словам";27;top
139;"нейросеть поиск по документам";26;top
140;"помощь по архивным поискам документов в киеве";26;top
141;"поиск по документу пдф сочетание клавиш";25;top
142;"поиск дел по документам суда";25;top
143;"поиск документов по имени и фамилии";25;top
144;"поиск по документу мак";25;top
145;"1с поиск по табличной части документа";24;top
146;"процесс поиска документов по их содержанию называется";23;top
147;"процесс поиска документов по фактам соответствующим";22;top
148;"как сделать поиск по документу айфон";22;top
149;"как работает быстрый поиск документов по профилю";22;top
150;"1с поиск документа по штрих коду";22;top
151;"поиск по документу excel";21;top
152;"как делать поиск по документу";21;top
153;"поиск по тексту в гугл документах";17;top
154;"поиск документов по дате на компьютере";17;top
155;"документы для социального контракта по поиску работы";17;top
156;"поиск по документу ворд сочетание клавиш";16;top
157;"поиск слов по документу word";16;top
158;"как включить поиск по документу ворд";16;top
159;"поиск по неким атрибутам документа это";15;top
160;"соцконтракт по поиску работы документы";15;top
161;"поиск по табличной части документа 1с 8.3";14;top
162;"поиск по гугл документу клавиши";14;top
163;"поиск по документу в гугл таблицах";12;top
164;"ипс фипс осуществляет поиск по патентным документам";12;top
165;"1с поиск по реквизиту документа";11;top
166;"поиск по пдф документу онлайн";11;top
167;"поиск по слову внутри документа";10;top
168;"поиск по документу гугл докс";10;top
169;"яндекс архив поиск по архивным документам";9;top
170;"настроить поиск в папке по содержимому документа";8;top
171;"поиск по документам родственников";8;top
172;"vk поиск по документам";8;top
173;"вконтакте поиск по документам";7;top
174;"bitrix24 поиск контактов по тексту в документах";6;top
175;"rag llm для поиска по документам";6;top
176;"тфомс поиск по документу архангельская область";5;top
177;"бережливый проект по поиску архивных документов";5;top
178;"поиск работы в москве курьером по документам";5;top
1;"документолог";266;assoc
2;"справочник";762336;assoc
3;"согласно приказа или приказу";16167;assoc
4;"рабочая документация";78307;assoc
5;"рабочая документация это";2861;assoc
6;"что такое сертификат";26311;assoc
7;"справочник профессий";13063;assoc
8;"что такое документооборот";3560;assoc
9;"состав рабочей документации";4574;assoc
10;"документация это";47356;assoc
