n;phrase;impressions;type
1;"чат бот по документам";79;top
2;"чат gpt по документам";54;top
3;"чат гпт по документу";19;top
4;"чат gpt юридический вопрос по документу";5;top
1;"боты для докса";9484;assoc
2;"бот для озвучки текста";2536;assoc
3;"докс бот по юзу";1254;assoc
4;"тг бот для докса";2948;assoc
5;"бот который озвучивает текст";563;assoc
6;"пишем бот";34712;assoc
7;"переписываться с ботом";3699;assoc
8;"лучшие боты для докса";1179;assoc
9;"бот для создания текста";1296;assoc
10;"как написать бота в тг";766;assoc
11;"бот переписка онлайн";1247;assoc
12;"телеграмм боты для докса";1209;assoc
13;"бот озвучивает текст";6451;assoc
14;"бот для написания текста";1481;assoc
15;"как настроить бота в тг через botfather";60;assoc
