n;phrase;impressions;type
1;"ассистент по проверке документов";289;top
2;"ассистент по проверке документов почта россии";218;top
3;"вакансия ассистент по проверке документов почта россии";32;top
4;"ассистент по проверке документов почта россии отзывы";28;top
5;"ассистент по работе с документами";26;top
1;"проверьте себя проверочная работа";32483;assoc
2;"росреестр проверить статус заявки по номеру";828;assoc
3;"что проверяет роспотребнадзор";6770;assoc
4;"реестр деклараций по специальной оценке условий труда";479;assoc
5;"проверить текст на грамотность";1740;assoc
6;"роспатент проверить";10123;assoc
7;"справка подтверждение";24149;assoc
8;"хоть поверьте хоть проверьте текст";497;assoc
9;"лист русада проверить";2513;assoc
10;"как должен проверить работник свои сиз";1139;assoc
11;"что проверяет сб при приеме на работу";476;assoc
12;"экспертиза сметной документации";6047;assoc
13;"umfc48 ru проверить статус услуги";233;assoc
14;"запрос акта сверки у контрагента образец";111;assoc
15;"проверить статус заявления";14764;assoc
16;"mydocuments36 ru проверить статус готовности";300;assoc
17;"помощник аналитика что это за работа";145;assoc
18;"свидетельство о поверке средств измерений";1373;assoc
19;"проверить доверенность мчд";1762;assoc
