n;phrase;impressions;type
1;"суверенный ии";160;top
2;"нарисуй плакат суверенная продукция ии телега";21;top
3;"суверенный ии россия";14;top
1;"суверенитет это";36125;assoc
2;"что такое е сим";10859;assoc
3;"что это такое";12368212;assoc
4;"вы помните вы все конечно помните";7336;assoc
5;"я самая";793472;assoc
6;"ты здесь";191692;assoc
7;"рубрика это";12994;assoc
8;"что такое суверенитет простыми словами";842;assoc
9;"ао цпл что это такое";733;assoc
10;"если бы мы знали что это такое";7749;assoc
11;"я была уверена что буду в москве";12902;assoc
12;"мы помним мы гордимся";4279;assoc
13;"е сим что это такое";1691;assoc
14;"aqi что это";1258;assoc
15;"x5id что это такое";778;assoc
16;"шгш что это";541;assoc
17;"дыба это";2277;assoc
18;"парад суверенитетов это";805;assoc
19;"суверенитет государства это";7888;assoc
