n;phrase;impressions;type
1;"корпоративный chatgpt";76;top
1;"ии чат gpt";11592;assoc
2;"чат gpt ком";2565;assoc
3;"business cats";4253;assoc
4;"корпоратив это";2981;assoc
5;"деловое общение";68620;assoc
6;"что такое корпоратив";604;assoc
7;"корпоративизм";1173;assoc
8;"деловая переписка";32649;assoc
9;"минет на корпоративе";851;assoc
10;"gr что это в бизнесе";466;assoc
11;"gpt chatbot ru";729;assoc
12;"skype for business";2018;assoc
13;"этика делового общения";4769;assoc
14;"бизнес кул";585;assoc
15;"как пишется слово корпоратив";333;assoc
