n;phrase;impressions;type
1;"база знаний для бота";89;top
2;"чат бот для базы знаний";38;top
1;"база книг";19478;assoc
2;"база нет";55127;assoc
3;"база данных это";81531;assoc
4;"баз кат";2597;assoc
5;"что такое чат бот";5401;assoc
6;"кто такой бот";2856;assoc
7;"база кс2";839;assoc
8;"фтсарр база данных";3771;assoc
9;"бача бази что это";2766;assoc
10;"база чгк";4262;assoc
11;"бача бази";13732;assoc
12;"база рорс";2372;assoc
13;"поли баз";25892;assoc
14;"чат бот это";7553;assoc
15;"baza book com";165;assoc
16;"пользователь иб не идентифицирован 1с 83 конфигуратор";106;assoc
