n;phrase;impressions;type
1;"локальное развертывание llm";54;top
2;"развертывание локальной llm на сервере";6;top
3;"llm для локального развертывания и дообучения";5;top
1;"as i lay dying";15227;assoc
2;"подписано запечатано доставлено к алтарю фильм 2018";2032;assoc
3;"lenovo legion go s";4530;assoc
4;"чем отличается луг от поля запиши";857;assoc
5;"a simple life with my unobtrusive прохождение";376;assoc
6;"подготовить памятку 5 правил бесконфликтного общения";857;assoc
7;"локально это";61026;assoc
8;"уехал с места дтп последствия";726;assoc
9;"безумец и его сломанная принцесса скачать";261;assoc
10;"гипогриф укажет вам путь хогвартс легаси прохождение";175;assoc
11;"светя другим сгораю сам на латинском";350;assoc
12;"как нарисовать демогоргона из осд легко";201;assoc
13;"развертка пирамиды для склеивания с припусками шаблон";149;assoc
14;"светя другим сгораю сам на латыни";446;assoc
15;"запуск deepseek r1 локально на своем компьютере";129;assoc
