n;phrase;impressions;type
1;"как развернуть локальную нейросеть";121;top
2;"нейросеть развернутый ответ";68;top
3;"как развернуть свою нейросеть";47;top
4;"развернуть нейросеть на своем пк";31;top
5;"развернутый ответ на вопросы нейросеть";20;top
6;"как развернуть локально нейросеть clip от openai";7;top
7;"локально развернуть нейросеть для снятия одежды";5;top
8;"как развернуть нейросеть на кластере персональных компьютеров";5;top
1;"лучшие нейросети aicombo";34541;assoc
2;"перплексити нейросеть";13157;assoc
3;"study ai нейросеть";6003;assoc
4;"нейросеть это";44237;assoc
5;"study24 ai нейросеть";1122;assoc
6;"grok com нейросеть";1042;assoc
7;"нейросфера нейросеть";960;assoc
8;"джемини нейросеть бесплатно";955;assoc
9;"нейросеть ответ";27034;assoc
10;"курсы по ии и нейросетям";1280;assoc
11;"yupp нейросеть";368;assoc
12;"нейросеть для создания";192377;assoc
13;"сдп это нейросеть";3196;assoc
14;"24ai нейросеть создание карточек";398;assoc
