n;phrase;impressions;type
1;"on prem";1050;top
2;"on prem решения";83;top
3;"altium on prem";68;top
4;"on prem server";39;top
5;"altium on prem server";37;top
6;"on prem cloud";35;top
7;"altium on prem enterprise server";27;top
8;"exchange on prem";22;top
9;"on prem и saas";16;top
10;"on prem облако";15;top
11;"on prem развертывание";11;top
12;"altium on prem enterprise server 8.0";11;top
13;"что значит on prem";6;top
1;"premier";252293;assoc
2;"премиум";2443636;assoc
3;"ван ту";37253;assoc
4;"premium";888967;assoc
5;"тот час";489365;assoc
6;"премьер оне";7321;assoc
7;"pray";32072;assoc
8;"pm это";33904;assoc
9;"p o n";106006;assoc
10;"premy site";881;assoc
11;"дэву poizon что это";728;assoc
12;"wace ai что это";1703;assoc
13;"this is the life";65114;assoc
14;"this bed we made";2722;assoc
15;"премилый";4261;assoc
16;"y m premier";1621;assoc
17;"премьер ван";1030;assoc
18;"y m premier что это";412;assoc
