n;phrase;impressions;type
1;"закрытый контур";5354;top
2;"закрыть контур";5354;top
3;"открытый закрытый контур";832;top
4;"закрытый колебательный контур";531;top
5;"закрытый контур отопления";414;top
6;"закрытый дыхательный контур";178;top
7;"контур закрывающие документы";172;top
8;"закрытый тепловой контур";161;top
9;"закрыть тепловой контур";161;top
10;"закрытый контур дома";158;top
11;"закрытый контур теплого пола";133;top
12;"система отопления закрытого контура";127;top
13;"насосы закрытого контура";126;top
14;"почему обычный закрытый колебательный контур";122;top
15;"закрытый и полузакрытый контур";120;top
16;"котел с закрытым контуром";116;top
17;"почему обычный закрытый колебательный контур нельзя";116;top
18;"открытый и закрытый колебательный контур";101;top
19;"барс закрытый контур";80;top
20;"закрыть ип контур";80;top
21;"ростовская область закрытый контур";77;top
22;"давление в закрытом контуре отопления";76;top
23;"мсэд закрытый контур";73;top
24;"контур закрытый ключ";68;top
25;"закрытый контур сети";67;top
26;"что значит закрытый контур";63;top
27;"как в контуре закрыть месяц";62;top
28;"может ли излучать закрытый колебательный контур";58;top
29;"как закрыть контур теплого пола";54;top
30;"наркозный аппарат закрытый контур";50;top
31;"барс образование закрытый контур";47;top
32;"электронная школа закрытый контур";46;top
33;"работа в закрытом контуре";45;top
34;"газовый котел с закрытым контуром";39;top
35;"закрытый контур битрикс24";38;top
36;"закрытый контур отопления в частном доме";36;top
37;"закрытый контур охлаждения";36;top
38;"битрикс в закрытом контуре";36;top
39;"закрытый информационный контур";35;top
40;"эдо закрытый контур";35;top
41;"закрытый контур здания";34;top
42;"закрыть контур здания";34;top
43;"контур банк закрыть счет";34;top
44;"закрыть ип через контур";32;top
45;"закрытый контур гвс";31;top
46;"как закрыть год в контуре";30;top
47;"электронная школа закрытый контур ростовская область";29;top
48;"как закрыть больничный в контуре";28;top
49;"закрытый контур мсэд дсп";26;top
50;"sh ris61edu ru закрытый контур";24;top
51;"электронный журнал закрытый контур";24;top
52;"закрытый контур каркасного дома";22;top
53;"иллюстратор закрыть контуры";22;top
54;"открытый и закрытый контур отопления";22;top
55;"закрытый контур в анестезиологии";22;top
56;"закрытый контур ивл";20;top
57;"газовый котел с закрытым контуром отопления";14;top
58;"контур админ закрыли";14;top
59;"схема закрытого контура отопления";14;top
60;"закрыть обособленное подразделение через контур";13;top
61;"анестезия по закрытому контуру";13;top
62;"мрт закрытого контура";13;top
63;"закрытый контур это в ит";11;top
64;"как закрыть месяц в контур экстерн";11;top
65;"система анестезиологическая с закрытым контуром";11;top
66;"контур закрытые архивы";11;top
67;"как закрыть ип через контур экстерн";10;top
68;"можно ли закрыть ип через контур";10;top
69;"как закрыть контур на коллекторе теплого пола";10;top
70;"что значит закрыть тепловой контур";9;top
71;"закрыть тепловой контур здания что это";9;top
72;"еисукс закрытый контур";9;top
73;"закрытый контур федерального казначейства";9;top
74;"закрытый контур в строительстве";8;top
75;"https sh ris61edu ru закрытый контур";8;top
76;"контур маркет закрыть кассу";8;top
77;"купить навьен с закрытым контуром отопления";7;top
78;"закрыть ип через контур экстерн можно ли";7;top
79;"закрытый контур обработки информации что это";7;top
80;"гис иссд закрытый контур";7;top
81;"xrdp astra linux в закрытый контур";7;top
82;"закрытый контур дома что это значит";6;top
83;"битрикс джи пи ти в закрытом контуре";6;top
84;"водяной теплый пол открытый или закрытый контур";5;top
85;"закрытый теплый контур при строительстве дома";5;top
86;"закрытый контур отопления часто подптьываю подтеков нет";5;top
87;"закрытый контур охлаждения самогонного аппарата";4;top
88;"закрытый контур сводного реестра";1;top
1;"контур бухгалтерия";23392;assoc
2;"контур бухгалтерия вход в систему";5129;assoc
3;"контур доступ";9617;assoc
4;"контур кэдо";7878;assoc
5;"контур норматив";8067;assoc
6;"ао пф скб контур";4898;assoc
7;"help kontur";3533;assoc
8;"контур отчетность";10297;assoc
9;"контур инсталл";1396;assoc
10;"незакрытый гештальт это";1930;assoc
11;"контур помощь";7167;assoc
12;"контур инфо";1257;assoc
13;"контур экстерн войти";3223;assoc
14;"замкнутая ломаная";7764;assoc
15;"незакрытый гештальт что это";622;assoc
16;"замкнутая и незамкнутая кровеносная система";8948;assoc
17;"кцр контур";562;assoc
18;"замкнутый контур";25794;assoc
19;"m4d kontur";230;assoc
