n;phrase;impressions;type
1;"rag внедрение";41;top
1;"интеграция это";55409;assoc
2;"роскомнадзор уведомление об обработке персональных данных";14767;assoc
3;"парентеральное введение это";3886;assoc
4;"установка визуального расписания это адаптация";2567;assoc
5;"ok google настрой устройство";1099;assoc
6;"сенсорная интеграция это";3290;assoc
7;"raid 0";4352;assoc
8;"она говорит отстань перехожу эту грань";13213;assoc
9;"реджи";29762;assoc
10;"фрагменты зарева хср как пройти";202;assoc
11;"передовые платежные решения";1946;assoc
12;"интегративный подход";6965;assoc
13;"найдите способ активировать устройство геншин";766;assoc
14;"поменять регион в аппсторе на соединенные штаты";2525;assoc
15;"установите особенности климата африки";872;assoc
