n;phrase;impressions;type
1;"rag llm для поиска по документам";6;top
1;"as i lay dying";15227;assoc
2;"одни только щепки arc raiders";1234;assoc
3;"отчет мп микро натура образец заполнения";1032;assoc
4;"65 автотранс форма отчетности";923;assoc
5;"эхо 13 род которого нет том 4";1236;assoc
6;"образец доверенности на получение товара";2977;assoc
7;"формз ру бланки";459;assoc
8;"журнал исходящей документации образец 2025";148;assoc
9;"65 автотранс форма отчетности скачать";187;assoc
10;"кнд 1175018";2252;assoc
11;"реестр исполнительной документации образец 2025";240;assoc
12;"эхо 13 род которого нет том 1";805;assoc
13;"эхо 13 род которого нет том 2";509;assoc
14;"форма no р19001";802;assoc
15;"форма мп микро натура бланк";427;assoc
16;"arc raiders один только щепки";1234;assoc
17;"заявление по форме no р13014";427;assoc
18;"caravanners co op open world camping";234;assoc
19;"доверенность м2 и м2а чем отличаются";115;assoc
