n;phrase;impressions;type
1;"enterprise search";96;top
2;"naumen enterprise search";12;top
1;"google поиск";33523;assoc
2;"все страны";807403;assoc
3;"мой поиск";22329;assoc
4;"список эпштейна что это";12489;assoc
5;"что такое экспансия";3847;assoc
6;"список стран";274522;assoc
7;"компания и кампания в чем различия";921;assoc
8;"кто был на острове эпштейна список";4322;assoc
9;"ко куд";4788;assoc
10;"авиабаза";21578;assoc
11;"список шиндлера о чем";1493;assoc
12;"список эпштейна что это такое";2883;assoc
13;"только где они самолеты";3611;assoc
14;"направление основной деятельности головной организации";1336;assoc
15;"что за список эпштейна";3458;assoc
16;"рлр";3993;assoc
17;"интерпол список разыскиваемых";662;assoc
18;"кто такой эпштейн и что за список";1088;assoc
